Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Применение;Characteristics:Аналоги;Characteristics:Материал;Characteristics:d / l;Characteristics:lt;Characteristics:s;Characteristics:k;Characteristics:Привод;Characteristics:dk;Characteristics:lb;Characteristics:XX;Characteristics:1;Characteristics:Диаметр резьбы;Characteristics:L1 (длина кронштейна);Weight;Length;Width;Height;SEO title;SEO descr;SEO keywords;FB title;FB descr
427410080171;;DIN 7976;;Саморезы;DIN 7976 Саморез остроконечный с шестигранной головкой;;;https://static.tildacdn.com/stor6632-6636-4431-b462-646537336333/83754217.png;0;;;;;BX7xxDu4aeknshKZB3Tn;;Крепление прижимной планки;1556;A2, А4, DP, Zn;;;;;;;;;;;;0;0;0;0;Август | Купить DIN 7976 Саморез остроконечный с шестигранной головкой;Крепление прижимной планки1556A2, А4, DP, Zn | Доставка 3 дня! ✆ +7 (343) 361 61-31 ✆ +7 (901) 220 02-65 ✆ +7 (902) 87-150-86 ЖМИТЕ!;Купить саморезы, болты, винты, гайки, заклепки, кронштейны, нагель, шайбы, шпильки, nord-lock, крепежи, крепежные изделия, metrix;;
473752127201;;;;Нагель;Штифт - нагель (с фаской и углублением) 5*10 А2;Единственная на рынке позиция c отверстием под нагелезабойник.;Единственная на рынке позиция c отверстием под нагелезабойник.;https://static.tildacdn.com/stor3038-3563-4131-b239-383139326166/93911849.png;;;;;Скидки от объема:При заказе от 50 000 шт - цена 2,90 руб/шт;F3A1GE0cRDusBjOlISe8;;Крепление угловых и импостовых соединений окон и дверей;;A2;;;;;;;;;;;;;;;;Август | Купить Штифт - нагель (с фаской и углублением) М5*10 А2;Единственная на рынке позиция c отверстием под нагелезабойник.Крепление угловых и импостовых соединений окон и дверейнет аналоговA2 | Доставка 3 дня! ✆ +7 (343) 361 61-31 ✆ +7 (901) 220 02-65 ✆ +7 (902) 87-150-86 ЖМИТЕ!;Купить саморезы, болты, винты, гайки, заклепки, кронштейны, нагель, шайбы, шпильки, nord-lock, крепежи, крепежные изделия, metrix;;
412623604281;;1015;;;Штифт - нагель (с фаской и углублением) М5*10 А2 - 5х10 А2 уп 100 шт;;;;0;;;1015:5х10 А2 уп 100 шт;;bLs6zS6VA5hmojtj9Y3l;473752127201;;;;;;;;;;;;;;;0;0;0;0;;;;;
878213110111;;1556;;"Саморезы;Фасадный крепёж";1556 DP Саморез остроконечный с шестигранной головкой с приводом ТХ (неполнорезьбовой);;Форма головки самореза позволяет использовать наружный и внутренний привод. Исключает проворачиваемость самореза при монтаже.;https://static.tildacdn.com/stor3135-3063-4435-b062-316238376232/24336884.png;0;;;;;3HHKKp7G3vLJHzUkSzd9;;крепление прижимной планки;DIN7976, DIN7981;Цинк-ламельное покрытие DP;5,5;16;8;4;ТХ25;;;;;;;0;0;0;0;Август | Купить 1556 5,5х70 DP Саморез остроконечный с шестигранной головкой с приводом ТХ (неполнорезьбовой);Форма головки самореза позволяет использовать наружный и внутренний привод. Исключает проворачиваемость самореза при монтаже.Цинк-ламельное покрытие DP | Доставка 3 дня! ✆ +7 (343) 361 61-31 ✆ +7 (901) 220 02-65 ✆ +7 (902) 87-150-86 ЖМИТЕ!;Купить саморезы, болты, винты, гайки, заклепки, кронштейны, нагель, шайбы, шпильки, nord-lock, крепежи, крепежные изделия, metrix;;
635017651451;;DIN 7981;;"Саморезы;Фасадный крепёж";DIN 7981 Саморез остроконечный с полукруглой головкой;;Крепление ригеля к закладной и крепление порогов дверей (d 3,9).Крепление ригеля к закладной (d 4,2).Крепление закладной ригеля к стойке (d 4,8).Крепление прижимной планки (d 5,5).;https://static.tildacdn.com/stor6563-3437-4163-b965-623730343435/70525001.png;0;;;;;kJTx02GuGirr5z1O85Fp;;;1556;A2, A4, DP, Zn;;;;;;;;;;;;0;0;0;0;Август | Купить DIN 7981 Саморез остроконечный с полукруглой головкой;Крепление ригеля к закладной и крепление порогов дверей (d 3,9).Крепление ригеля к закладной (d 4,2).Крепление закладной ригеля к стойке (d 4,8).Крепление прижимной планки (d 5,5).1556A2, A4, DP, Zn | Доставка 3 дня! ✆ +7 (343) 361 61-31 ✆ +7 (901) 220 02-65 ✆ +7 (902) 87-150-86 ЖМИТЕ!;Купить саморезы, болты, винты, гайки, заклепки, кронштейны, нагель, шайбы, шпильки, nord-lock, крепежи, крепежные изделия, metrix;;
424250199351;;DIN 7982;;"Саморезы;Фасадный крепёж";DIN 7982 Саморез остроконечный с потайной головкой;;Крепление ригеля к закладной и крепление порогов дверей (d 3,9).Крепление ригеля к закладной (d 4,2).Крепление прижимной планки (d 5,5).;https://static.tildacdn.com/stor3338-3833-4438-b562-666232323536/30716429.png;0;;;;;oa9IK6I59fBMazrusaZ1;;;A2, A4, DP, Zn;A2, A4, DP, Zn;;;;;;;;;;;;0;0;0;0;Август | Купить DIN 7982 Саморез остроконечный с потайной головкой;Крепление ригеля к закладной и крепление порогов дверей (d 3,9).Крепление ригеля к закладной (d 4,2).Крепление прижимной планки (d 5,5).A2, A4, DP, Zn | Доставка 3 дня! ✆ +7 (343) 361 61-31 ✆ +7 (901) 220 02-65 ✆ +7 (902) 87-150-86 ЖМИТЕ!;Купить саморезы, болты, винты, гайки, заклепки, кронштейны, нагель, шайбы, шпильки, nord-lock, крепежи, крепежные изделия, metrix;;
290368823251;;DIN 7504 K;DIN 7504 K;"Саморезы;Фасадный крепёж";DIN 7504 К Саморез сверлоконечный с шестигранной головкой;;шестигранник с прессшайбойDIN 7504 K;https://static.tildacdn.com/stor3635-3031-4439-b732-386536613631/13005831.png;0;;;;;6jtgBpk03oLa96c1YmE3;;;;A2, A4, DP, Zn;;;;;;;;;;;;0;0;0;0;Август | Купить DIN 7504 К Саморез сверлоконечный с шестигранной головкой;шестигранник с прессшайбойDIN 7504 KA2, A4, DP, Zn | Доставка 3 дня! ✆ +7 (343) 361 61-31 ✆ +7 (901) 220 02-65 ✆ +7 (902) 87-150-86 ЖМИТЕ!;Купить саморезы, болты, винты, гайки, заклепки, кронштейны, нагель, шайбы, шпильки, nord-lock, крепежи, крепежные изделия, metrix;;
512554737521;;DIN 7504 N;DIN 7504 N;"Саморезы;Фасадный крепёж";DIN 7504 N Саморез сверлоконечный с полукруглой головкой;;DIN 7504 N;https://static.tildacdn.com/stor6537-3936-4965-b737-656337336464/45362042.png;0;;;;;9LH3soMGSemo14GXYJ9c;;;;A2, A4, DP, Zn;;;;;;;;;;;;0;0;0;0;Август | Купить DIN 7504 N Саморез сверлоконечный с полукруглой головкой;DIN 7504 NA2, A4, DP, Zn | Доставка 3 дня! ✆ +7 (343) 361 61-31 ✆ +7 (901) 220 02-65 ✆ +7 (902) 87-150-86 ЖМИТЕ!;Купить саморезы, болты, винты, гайки, заклепки, кронштейны, нагель, шайбы, шпильки, nord-lock, крепежи, крепежные изделия, metrix;;
862063321901;;DIN 7504 P;DIN 7504 P;"Саморезы;Фасадный крепёж";DIN 7504 P Саморез сверлоконечный с потайной головкой;;DIN 7504 P;https://static.tildacdn.com/stor3162-3666-4231-b061-636166373865/11757698.png;0;;;;;0U7eieB3NGsu57e2Ldgz;;;;A2, A4, DP, Zn;;;;;;;;;;;;0;0;0;0;Август | Купить DIN 7504 P Саморез сверлоконечный с потайной головкой;DIN 7504 PA2, A4, DP, Zn | Доставка 3 дня! ✆ +7 (343) 361 61-31 ✆ +7 (901) 220 02-65 ✆ +7 (902) 87-150-86 ЖМИТЕ!;Купить саморезы, болты, винты, гайки, заклепки, кронштейны, нагель, шайбы, шпильки, nord-lock, крепежи, крепежные изделия, metrix;;
474101031671;;DIN 931;DIN 931;Болты;DIN 931 Болт с шестигранной головкой (неполная резьба);;DIN 931;https://static.tildacdn.com/stor3663-3561-4261-a636-646333343034/48909499.png;0;;;;;oLLcVCVMa8IriIhI2Npj;;;;A2, A4, DP, Zn;;;;;;;;;;;;0;0;0;0;Август | Купить DIN 931 Болт с шестигранной головкой (неполная резьба);DIN 931A2, A4, DP, Zn | Доставка 3 дня! ✆ +7 (343) 361 61-31 ✆ +7 (901) 220 02-65 ✆ +7 (902) 87-150-86 ЖМИТЕ!;Купить саморезы, болты, винты, гайки, заклепки, кронштейны, нагель, шайбы, шпильки, nord-lock, крепежи, крепежные изделия, metrix;;
